                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3256,                0.56765,                 0.8907,                0.90877,                0.88069,                0.92209,                0.50405,                 1.5856,                0.68582,                0.96707,             0.00052914,             0.00052914,             0.00052914
                     55,                 1.3227,                 0.5676,                0.88377,                 0.9133,                 0.8785,                0.91863,                0.50851,                 1.5755,                0.67748,                0.96316,             0.00050086,             0.00050086,             0.00050086
                     56,                 1.2946,                0.55052,                 0.8858,                0.89944,                0.89233,                0.92287,                0.51473,                 1.5789,                0.67249,                0.96553,             0.00047257,             0.00047257,             0.00047257
                     57,                 1.2779,                0.54858,                0.88425,                0.90731,                0.88666,                0.92372,                0.51066,                 1.5904,                0.68174,                0.96693,             0.00044429,             0.00044429,             0.00044429
                     58,                 1.2976,                0.55074,                0.88576,                0.88825,                0.89385,                0.92196,                0.51405,                 1.5639,                0.66611,                0.96479,               0.000416,               0.000416,               0.000416
                     59,                 1.2732,                0.54182,                0.87991,                0.89241,                0.87708,                0.91617,                0.49939,                 1.5887,                0.68652,                0.96726,             0.00038771,             0.00038771,             0.00038771
                     60,                 1.2837,                0.54532,                0.88368,                0.91091,                0.88627,                0.92212,                0.50752,                 1.5937,                 0.6803,                0.96814,             0.00035943,             0.00035943,             0.00035943
                     61,                 1.2205,                0.51601,                0.89081,                0.91021,                0.88747,                0.92412,                0.51074,                 1.5931,                0.66869,                0.96797,             0.00033114,             0.00033114,             0.00033114
                     62,                 1.2275,                0.51873,                0.89576,                0.91019,                0.88163,                0.92265,                0.50679,                 1.5873,                0.68057,                0.96978,             0.00030286,             0.00030286,             0.00030286
                     63,                  1.216,                0.51033,                0.89392,                0.91436,                0.87989,                0.92409,                0.50976,                 1.5882,                0.67007,                0.96822,             0.00027457,             0.00027457,             0.00027457
                     64,                 1.2154,                0.50589,                 0.8925,                 0.9141,                0.88547,                0.92299,                0.50703,                 1.6073,                0.68918,                0.97166,             0.00024629,             0.00024629,             0.00024629
                     65,                 1.2032,                 0.5023,                0.89427,                 0.9126,                0.88336,                0.92341,                0.51344,                 1.5733,                0.66183,                0.96934,               0.000218,               0.000218,               0.000218
                     66,                 1.1654,                0.48828,                0.88281,                0.91604,                0.88381,                0.92342,                0.51012,                 1.5962,                0.68173,                0.97095,             0.00018971,             0.00018971,             0.00018971
                     67,                 1.1791,                0.49355,                0.88279,                0.90954,                0.88867,                0.92263,                0.50737,                 1.5924,                0.66946,                 0.9715,             0.00016143,             0.00016143,             0.00016143
                     68,                 1.1549,                0.48271,                0.87663,                  0.909,                0.88488,                0.92372,                0.51149,                 1.5883,                0.66704,                0.97358,             0.00013314,             0.00013314,             0.00013314
                     69,                 1.1593,                0.48286,                0.88236,                0.90942,                0.88545,                0.92241,                 0.5096,                 1.5889,                0.66589,                0.97306,             0.00010486,             0.00010486,             0.00010486
                     70,                 1.1544,                0.48408,                0.87686,                0.90096,                0.88388,                 0.9179,                0.50999,                 1.5869,                0.66908,                0.97217,             7.6571e-05,             7.6571e-05,             7.6571e-05
